AI Tóm Tắt & Phân Tích Sự Cố Bảo Mật — Incident Report Tự Động Cho SOC	Security — Incident Response	LLM + RAG	Sau một sự cố bảo mật, analyst phải tổng hợp log từ chục hệ thống, dựng timeline, viết báo cáo cho quản lý và khách hàng — mất nhiều giờ trong khi đồng hồ đang đếm, và mỗi người viết một kiểu khiến tri thức không tích lũy được. Bài toán: AI đọc log sự cố, dữ liệu điều tra và các alert liên quan, tự dựng timeline tấn công (initial access → lateral movement → impact), ánh xạ lên framework MITRE ATT&CK, sinh báo cáo sự cố chuẩn cho từng đối tượng đọc (kỹ thuật và lãnh đạo), và đề xuất biện pháp khắc phục. Giải phóng analyst khỏi việc viết lách cơ học để tập trung điều tra.	OpenAI/Claude, RAG MITRE ATT&CK, log parsing, python-docx, FastAPI, Next.js	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Trợ Lý Truy Vấn Log Bằng Ngôn Ngữ Tự Nhiên — Hỏi SIEM Như Hỏi Người	Security — Threat Hunting	LLM + Text-to-Query	Threat hunter muốn hỏi 'có máy nào trong dải mạng kế toán kết nối ra IP lạ ở nước ngoài trong 24h qua không' nhưng phải viết query SPL/KQL/Lucene phức tạp — rào cản cú pháp làm chậm điều tra và loại bỏ những người giỏi về bảo mật nhưng không thạo query language. Bài toán: AI chuyển câu hỏi tiếng Việt/Anh thành truy vấn SIEM đúng cú pháp, giải thích query sinh ra để analyst kiểm chứng, chạy và trình bày kết quả dễ đọc, gợi ý các câu hỏi điều tra tiếp theo dựa trên kết quả, và học từ các truy vấn đã dùng. Hạ thấp rào cản threat hunting cho cả đội SOC.	OpenAI/Claude, Splunk/Elastic/Sentinel API, text-to-query, FastAPI, Next.js	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Tổng Hợp Threat Intelligence — Từ Hàng Trăm Nguồn Đến Cảnh Báo Liên Quan Đến Tổ Chức	Security — Threat Intelligence	RAG + LLM	Đội threat intel ngập trong báo cáo CVE, bài blog của hãng bảo mật, feed IOC, cảnh báo của cơ quan nhà nước — đọc hết là bất khả thi, nên lỗ hổng đang bị khai thác ngoài thực địa liên quan đến công nghệ tổ chức đang dùng bị phát hiện muộn. Bài toán: AI thu thập và tổng hợp threat intel đa nguồn, lọc theo tech stack và ngành của tổ chức (chỉ cảnh báo cái thực sự liên quan), tóm tắt mức độ nghiêm trọng và khả năng bị khai thác, ánh xạ CVE với tài sản nội bộ có nguy cơ, và sinh bản tin tình báo hàng ngày kèm khuyến nghị ưu tiên vá lỗi.	OpenAI/Claude, RAG threat feed (NVD/CISA/vendor), embeddings, FastAPI, Next.js	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Phát Hiện Email Lừa Đảo & Phishing Nội Bộ Theo Ngữ Cảnh	Security — Email Security	LLM + Classification	Nhân viên là tuyến phòng thủ yếu nhất: một email giả mạo CEO yêu cầu chuyển tiền gấp, hay link giả trang đăng nhập nội bộ, vẫn lọt qua bộ lọc spam truyền thống vốn dựa vào blacklist và chữ ký. Phishing nhắm mục tiêu (spear-phishing) ngày càng tinh vi nhờ chính AI. Bài toán: AI phân tích email đến theo ngữ cảnh ngôn ngữ (giọng điệu khẩn cấp bất thường, yêu cầu vượt quy trình, mạo danh nội bộ), kiểm tra dấu hiệu kỹ thuật (domain gần giống, header bất thường, link rút gọn), chấm điểm rủi ro và giải thích vì sao, cảnh báo người nhận trước khi họ click, và báo cáo mẫu phishing mới cho đội bảo mật. Tập trung phishing tiếng Việt và mạo danh thương hiệu nội bộ.	OpenAI/Claude, email header analysis, URL reputation, FastAPI, browser/Outlook plugin	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Cố Vấn Cấu Hình & Hardening Bảo Mật Theo Chuẩn (CIS/ISO 27001)	Security — Compliance & Hardening	RAG + LLM	Đội vận hành phải hardening hàng trăm máy chủ, cloud account, thiết bị mạng theo CIS Benchmark / ISO 27001 — tài liệu chuẩn dày hàng trăm trang, kiểm tra thủ công từng mục là không khả thi nên cấu hình sai sót để hở cửa cho tấn công. Bài toán: AI đọc cấu hình hệ thống (file config, output lệnh, cloud policy), đối chiếu với chuẩn bảo mật áp dụng, chỉ ra điểm chưa tuân thủ kèm giải thích rủi ro và mức ưu tiên, sinh hướng dẫn khắc phục cụ thể cho từng nền tảng, và tạo báo cáo tuân thủ cho audit. Biến tài liệu chuẩn khô khan thành hành động cụ thể.	OpenAI/Claude, RAG CIS/ISO benchmark, config parsing, FastAPI, Next.js	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Phát Hiện Bất Thường Hành Vi Người Dùng & Tài Khoản (UEBA)	Security — Insider Threat	Anomaly Detection + LLM	Tài khoản bị chiếm quyền hay nhân viên nội gián thường hành xử khác thường — đăng nhập giờ lạ, truy cập dữ liệu ngoài phận sự, tải về khối lượng bất thường — nhưng các tín hiệu này rải rác trong log và không ai dựng được 'hành vi bình thường' để so. Bài toán: AI học baseline hành vi từng người dùng/tài khoản dịch vụ từ log truy cập, phát hiện lệch chuẩn đáng ngờ (bất khả thi về địa lý, leo thang quyền, truy cập dữ liệu nhạy cảm bất thường), chấm điểm rủi ro và diễn giải bằng ngôn ngữ analyst hiểu được (không chỉ là số), và ưu tiên điều tra. Cân bằng giữa phát hiện và quyền riêng tư nhân viên.	OpenAI/Claude diễn giải, anomaly detection time-series, log ingestion, FastAPI, dashboard	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Sinh & Diễn Giải Playbook Ứng Phó Sự Cố (SOAR Assistant)	Security — SOAR	LLM + Workflow	Khi sự cố xảy ra, đội SOC cần phản ứng theo playbook nhưng playbook viết tay thường lỗi thời, không bao quát biến thể mới, và analyst tier-1 dưới áp lực dễ làm sai bước. Bài toán: AI nhận loại sự cố và ngữ cảnh, đề xuất các bước ứng phó phù hợp dựa trên playbook tổ chức và best practice, giải thích lý do từng bước (để analyst không làm như robot mà hiểu việc), tự động hóa các tác vụ an toàn (thu thập bằng chứng, làm giàu IOC) và yêu cầu xác nhận con người trước các hành động có tác động (cô lập máy, khóa tài khoản), và ghi lại quy trình để cải thiện playbook. Con người luôn giữ quyền quyết định.	OpenAI/Claude, SOAR/EDR API, workflow engine, FastAPI, Next.js	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Quét & Diễn Giải Lỗ Hổng Bảo Mật — Ưu Tiên Theo Rủi Ro Thực	Security — Vulnerability Management	LLM + Analytics	Công cụ quét lỗ hổng phun ra hàng nghìn finding với điểm CVSS — đội bảo mật chết chìm, vá theo điểm CVSS đơn thuần mà bỏ qua ngữ cảnh (lỗ hổng điểm cao trên máy nội bộ không tiếp xúc internet ít nguy hơn lỗ hổng trung bình trên máy public đang bị khai thác). Bài toán: AI tổng hợp kết quả quét đa công cụ, làm giàu bằng threat intel (có đang bị khai thác ngoài thực địa không), tính điểm rủi ро theo ngữ cảnh tổ chức (mức phơi nhiễm, độ quan trọng tài sản, khả năng khai thác), diễn giải mỗi lỗ hổng bằng ngôn ngữ dễ hiểu cho đội vận hành, và xếp thứ tự vá lỗi tối ưu giảm rủi ro nhanh nhất.	OpenAI/Claude, scanner API (Nessus/Trivy), EPSS/KEV feed, FastAPI, Next.js	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Trợ Lý Phân Tích Mã Độc & File Đáng Ngờ (Phân Tích Tĩnh)	Security — Malware Analysis	LLM + Static Analysis	Khi nhận một file đáng ngờ, analyst phải phân tích thủ công — đọc string, kiểm tra hash trên VirusTotal, dò hành vi — tốn thời gian và cần chuyên môn reverse engineering cao mà không phải SOC nào cũng có. Bài toán: AI thực hiện phân tích tĩnh an toàn (không thực thi mã độc): trích xuất và diễn giải các chỉ dấu (string, import, metadata), đối chiếu hash/IOC với threat intel, mô tả hành vi nghi ngờ bằng ngôn ngữ dễ hiểu, ánh xạ lên MITRE ATT&CK, và đề xuất bước xử lý. Lưu ý đạo đức: chỉ phục vụ phân tích phòng thủ, không sinh hay hướng dẫn tạo mã độc; xử lý mẫu trong môi trường cô lập.	OpenAI/Claude, static analysis (strings/PE parsing), VirusTotal API, sandbox cô lập, FastAPI	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
AI Đánh Giá Rủi Ro Nhà Cung Cấp & Bên Thứ Ba (Third-Party Risk)	Security — Third-Party Risk	RAG + LLM	Tổ chức lớn dùng hàng trăm nhà cung cấp, mỗi bên là một cửa ngõ rủi ro (vụ rò rỉ qua bên thứ ba ngày càng phổ biến) — nhưng đánh giá an ninh nhà cung cấp dựa trên bảng câu hỏi dài hàng trăm mục, gửi đi đợi vài tuần, đọc câu trả lời thủ công. Bài toán: AI tự động hóa quy trình: sinh bộ câu hỏi đánh giá phù hợp loại nhà cung cấp và mức truy cập dữ liệu, phân tích câu trả lời và tài liệu chứng minh (chứng chỉ, báo cáo audit), đối chiếu với tín hiệu công khai (lịch sử rò rỉ, bề mặt tấn công lộ ra internet), chấm điểm rủi ro và đề xuất điều khoản/biện pháp giảm thiểu trong hợp đồng.	OpenAI/Claude, RAG security questionnaire, OSINT, FastAPI, Next.js	2	Yêu cầu tối thiểu: sản phẩm web/app hoàn chỉnh — deployed online (có URL truy cập), đăng nhập & phân quyền cơ bản, giao diện UI/UX hoàn chỉnh, quản lý user. Không chấp nhận: demo notebook, script CLI, prototype chỉ chạy localhost.
